#OK
#SQL= select *
#	  from millimil..MMField
#	 where snapnum=63 
#	   
#MAXROWS UNLIMITED
#QUERYTIMEOUT 30 sec
#DATE 2022-06-28 07:42:28.918 CEST
#QUERYTIME 55 millisec
#COLUMN 1 name=snapnum JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 2 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 3 name=cic JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=g1_25 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=g2_5 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=g5 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=g10 JDBC_TYPE=7 JDBC_TYPENAME=real
#snapnum,phkey,cic,g1_25,g2_5,g5,g10
63,150,0.099887215,0.21677281,0.27621958,0.39883536,0.7327543
63,151,0.4911121,0.30010575,0.29848152,0.40919596,0.7343752
63,152,0.1664787,0.32965463,0.33899844,0.42040932,0.73808837
63,153,1.2019762,0.5652539,0.37169763,0.42769912,0.74445075
63,154,0.26803067,0.51398826,0.42094782,0.42907152,0.7321065
63,155,0.1664787,0.28256682,0.38463968,0.42731407,0.72307104
63,156,0.0882337,0.30091718,0.3891475,0.4014687,0.6825561
63,157,1.1187367,0.7892153,0.44753027,0.39113668,0.68795353
63,158,0.22141665,0.36346462,0.33920133,0.37801486,0.70089203
63,159,0.063261904,0.19409381,0.30348414,0.38445836,0.69790584
63,160,0.044949245,0.1332956,0.25836486,0.36336014,0.6697271
63,161,0.21142793,0.20436092,0.2804672,0.34647727,0.668417
63,162,0.41286716,0.48578927,0.41216663,0.3696833,0.6544581
63,163,0.14150688,0.22814086,0.3555665,0.38927057,0.65360224
63,164,0.19810964,0.29875308,0.33023837,0.38480923,0.63886315
63,165,0.31297994,0.37304905,0.3639365,0.357902,0.6345126
63,166,0.17480262,0.1777004,0.24710546,0.32816952,0.65008426
63,167,0.24971803,0.20390868,0.24825765,0.35288116,0.6564103
63,168,0.06825626,0.15635796,0.24007656,0.37410387,0.6657848
63,169,0.23972932,0.20961305,0.26192656,0.3934401,0.6773192
63,170,0.20809835,0.24274124,0.28307936,0.38669515,0.6805077
63,171,0.06825626,0.14305538,0.2478773,0.37586784,0.67400324
63,172,0.06992105,0.13589852,0.3133183,0.40215018,0.6555167
63,173,0.18812092,0.27289316,0.35279894,0.40974164,0.65943825
63,174,0.10488157,0.13778828,0.3034349,0.41807404,0.65483534
63,175,0.08490413,0.14050142,0.28637448,0.40467727,0.64592946
63,176,0.034960523,0.15606774,0.37816867,0.45002073,0.6335954
63,177,0.061597113,0.19714114,0.4038934,0.45657328,0.6395256
63,178,0.101552,0.3386812,0.46960044,0.44498888,0.6456479
63,179,0.041619673,0.1548459,0.4199073,0.44212133,0.64451367
63,180,0.06825626,0.3329286,0.5439226,0.48600334,0.64255816
63,181,0.056602754,0.59934497,0.586562,0.4831638,0.6405241
63,182,0.051608395,0.53342193,0.55003124,0.49931106,0.63222486
63,183,0.07325062,0.20993418,0.53449863,0.50040996,0.62971574
63,184,0.39621928,0.4117357,0.5498653,0.483762,0.6283772
63,185,0.39122492,0.49288854,0.56072927,0.4750337,0.6460449
63,186,0.07491541,0.383982,0.46979934,0.4297109,0.6451533
63,187,0.8490413,0.48155442,0.43087864,0.43146732,0.62919337
63,188,0.9472637,0.6753189,0.47795781,0.40174496,0.6271546
63,189,0.8856666,0.9137231,0.5372766,0.407809,0.6483287
63,190,0.86568916,0.9133133,0.5916452,0.4518676,0.6516938
63,191,0.1281886,0.506345,0.55495054,0.45168322,0.62895405
63,192,0.5577036,0.62688714,0.48465177,0.41195047,0.63186115
63,193,0.90564406,0.6442073,0.42506078,0.36574945,0.6279647
63,194,0.5560388,0.72770435,0.48626128,0.37996832,0.6544203
63,195,2.7635462,1.059783,0.531832,0.42261848,0.65983
63,196,0.41952628,0.4723845,0.39102203,0.3962658,0.6703104
63,197,0.22974059,0.29146507,0.3362697,0.3532143,0.6633308
63,198,0.051608395,0.23304474,0.29651573,0.33148253,0.63158953
63,199,0.08323935,0.2757893,0.3545145,0.37509665,0.6370234
63,200,0.08989849,0.12487122,0.25852245,0.35070336,0.64385897
63,201,0.16148433,0.18646538,0.24531561,0.34467572,0.6511318
63,202,0.14483646,0.1307217,0.16760577,0.30047372,0.64428574
63,203,0.06992105,0.10111306,0.19549356,0.307533,0.6374595
63,204,0.12152945,0.12352468,0.21098897,0.3363013,0.67433995
63,205,0.10821114,0.1099744,0.16434342,0.33699927,0.6860034
63,206,0.07325062,0.13146706,0.24180743,0.3867691,0.69463927
63,207,0.09655764,0.16060926,0.27655563,0.38201985,0.6823868
63,208,0.18146177,0.16214816,0.261387,0.43411747,0.7315522
63,209,0.06659147,0.11597946,0.22404705,0.45758364,0.7483523
63,210,0.08989849,0.10232549,0.15399066,0.40430483,0.73830616
63,211,0.0882337,0.11369068,0.206622,0.387558,0.7223286
63,212,0.0765802,0.10128374,0.1963463,0.47396627,0.7781078
63,213,0.099887215,0.09687033,0.15104932,0.51838744,0.797762
63,214,0.093228064,0.1124671,0.22748289,0.56909525,0.8087676
63,215,0.11653508,0.13681686,0.2539285,0.51743877,0.78801596
63,216,0.07990977,0.17358291,0.3234392,0.49107113,0.7670227
63,217,0.2663659,0.3451754,0.4140696,0.48213923,0.7476033
63,218,0.17813219,0.66110414,0.49719125,0.44284627,0.6993811
63,219,0.20476879,0.27597672,0.3645763,0.43168882,0.71468997
63,220,0.10654636,0.21736209,0.33151904,0.39048493,0.706728
63,221,0.24805324,0.70638615,0.48327044,0.40465063,0.6931107
63,222,0.54937965,0.46153176,0.41044348,0.4489532,0.7410638
63,223,0.086568914,0.18053128,0.29336923,0.45373252,0.75861824
63,224,0.049943607,0.24920155,0.28382865,0.43274269,0.75926906
63,225,0.9422694,0.57388705,0.3856075,0.4289257,0.744188
63,226,0.7408302,0.5988764,0.41502896,0.37635294,0.69645417
63,227,0.25304762,0.31903353,0.29846177,0.3623676,0.70797426
63,228,1.3035281,0.48287782,0.2641445,0.35461056,0.71627223
63,229,0.15648997,0.41326118,0.32967737,0.36647817,0.7070378
63,230,1.1204016,0.5915965,0.35655385,0.43057418,0.75375617
63,231,0.24638845,0.3684597,0.28664753,0.43505967,0.7660069
63,232,0.10821114,0.14735925,0.20322022,0.45181042,0.78042334
63,233,0.051608395,0.11125373,0.15245993,0.49045488,0.7954556
63,234,0.09489285,0.10075273,0.138459,0.49168265,0.79404503
63,235,0.101552,0.10873416,0.18788652,0.4505751,0.7764443
63,236,0.093228064,0.13629723,0.19038579,0.35800275,0.72172177
63,237,0.08157456,0.11397596,0.13894291,0.37213942,0.73614013
63,238,0.17979698,0.13642165,0.14417306,0.36521146,0.7403705
63,239,0.11320551,0.20058437,0.18737659,0.35119772,0.7278829
63,240,0.051608395,0.11417799,0.15873235,0.29112247,0.68394715
63,241,0.078244984,0.10511857,0.13318919,0.29348168,0.69321245
63,242,0.08490413,0.10432129,0.13754244,0.30415854,0.6858033
63,243,0.06659147,0.10879026,0.17777292,0.30401015,0.6752339
63,244,0.0882337,0.09873719,0.1582078,0.2752704,0.640297
63,245,0.0765802,0.10347267,0.13338478,0.26974908,0.6464017
63,246,0.043284457,0.0958957,0.12366999,0.25764906,0.6572605
63,247,0.061597113,0.093680516,0.13490388,0.25923905,0.65191525
63,248,0.078244984,0.10748484,0.16914839,0.27582386,0.6481484
63,249,0.20643358,0.1752114,0.23107472,0.29642856,0.63552076
63,250,0.1648139,0.2179013,0.27306882,0.32027116,0.6656511
63,251,0.18812092,0.21826424,0.21256602,0.30437362,0.6758951
63,252,0.06992105,0.18346025,0.2655711,0.32534736,0.6705035
63,253,0.22974059,0.37214574,0.3805265,0.34487623,0.6584996
63,254,0.32629824,0.33143705,0.3231468,0.32648286,0.63340694
63,255,0.061597113,0.12360445,0.21574529,0.3009957,0.6473505
63,256,0.044949245,0.07083374,0.1496398,0.29390574,0.6703571
63,257,0.044949245,0.074561454,0.1386133,0.30732387,0.703665
63,258,0.05826754,0.08014099,0.18113916,0.35002932,0.7215985
63,259,0.05993233,0.09423725,0.1909675,0.326625,0.6910199
63,260,0.08157456,0.12493605,0.17000844,0.309489,0.69448274
63,261,0.071585834,0.10876261,0.16335113,0.33637264,0.7230396
63,262,0.06492669,0.08457,0.12764992,0.2926741,0.7021273
63,263,0.0765802,0.07581381,0.13111894,0.27374437,0.6699156
63,264,0.061597113,0.08322319,0.12435862,0.26295146,0.67263776
63,265,0.05826754,0.09709863,0.12802765,0.26717812,0.67707235
63,266,0.10987593,0.13947463,0.14437255,0.300941,0.7070807
63,267,0.09489285,0.10772973,0.13081475,0.28907672,0.7037695
63,268,0.12652381,0.12055582,0.15129708,0.3311493,0.7272296
63,269,0.1648139,0.14601481,0.15086433,0.34096375,0.73274755
63,270,0.063261904,0.10471041,0.13700968,0.30604556,0.70834255
63,271,0.08323935,0.09737694,0.14699315,0.30016112,0.70073694
63,272,0.07491541,0.13799348,0.18822862,0.3676765,0.7410415
63,273,0.11154072,0.12504649,0.1549084,0.38155425,0.75105655
63,274,0.10821114,0.12739643,0.18005322,0.41626012,0.7700667
63,275,0.0882337,0.12407601,0.20819417,0.4040456,0.76313835
63,276,0.028301377,0.18856263,0.32004324,0.5144768,0.8082955
63,277,0.08989849,0.10705689,0.25593248,0.538146,0.8160128
63,278,0.063261904,0.10305251,0.18674994,0.5088415,0.80205554
63,279,0.03662531,0.15076017,0.24178003,0.4754656,0.79029614
63,280,0.6176359,0.37775105,0.31356204,0.46171704,0.7793048
63,281,0.1531604,0.34649816,0.35607576,0.4575933,0.77047837
63,282,0.063261904,0.18893006,0.27163127,0.3799254,0.72549474
63,283,0.21975186,0.26970264,0.23852526,0.37010235,0.7320478
63,284,0.19478007,0.17608151,0.2506238,0.40692177,0.75723
63,285,0.071585834,0.12238056,0.2845841,0.4162142,0.7536598
63,286,0.08490413,0.2868246,0.43669555,0.5068413,0.79644114
63,287,0.3179743,0.42706996,0.39425242,0.5074888,0.80136687
63,288,0.21309271,0.48731062,0.51854366,0.5631672,0.8332419
63,289,0.10321679,0.46477568,0.6109504,0.5697252,0.83244526
63,290,0.0882337,0.17393403,0.3845355,0.4704865,0.7921112
63,291,0.28134897,0.18551753,0.31337103,0.45993254,0.7926053
63,292,0.05993233,0.20886801,0.4000374,0.5250048,0.8370177
63,293,0.061597113,0.43940225,0.5113483,0.5382546,0.83974844
63,294,0.41286716,0.94271964,0.76976407,0.63831776,0.8776934
63,295,0.14483646,0.48876396,0.61197865,0.62129897,0.874105
63,296,0.20809835,0.38725296,0.5052631,0.60632837,0.87163454
63,297,0.10321679,0.3753404,0.47652638,0.6026458,0.86954296
63,298,0.09822243,0.16458595,0.36202285,0.5706331,0.8388582
63,299,0.33628696,0.299969,0.42360467,0.5600445,0.8357109
63,300,0.08323935,0.15169136,0.25748238,0.45522854,0.7951591
63,301,0.18812092,0.14190112,0.23564857,0.46431315,0.7985873
63,302,0.12485901,0.16097888,0.334549,0.5228164,0.8352157
63,303,0.093228064,0.15042008,0.3328691,0.51779276,0.83584726
63,304,0.093228064,0.10731772,0.23787937,0.45580643,0.80975163
63,305,0.06992105,0.11445805,0.24834798,0.47455293,0.81015384
63,306,0.23972932,0.16974129,0.18031698,0.39722365,0.76725674
63,307,0.16980825,0.1490279,0.17804927,0.38309184,0.7640919
63,308,0.14483646,0.14241995,0.15226825,0.34047207,0.74565345
63,309,0.25138283,0.18055189,0.16645037,0.36229178,0.7477618
63,310,0.04827882,0.10679178,0.21191336,0.4547941,0.7971258
63,311,0.08323935,0.11699346,0.19843087,0.42065716,0.7964318
63,312,0.2563772,0.19413854,0.22059284,0.4016611,0.7967735
63,313,0.15482518,0.13937292,0.15837753,0.33443198,0.7449947
63,314,0.2147575,0.15402645,0.20116262,0.383673,0.76207185
63,315,0.07325062,0.16199788,0.27703026,0.45068613,0.8101189
63,316,0.3063208,0.27559432,0.3414449,0.45651963,0.8125663
63,317,0.0882337,0.12826693,0.2412177,0.3937951,0.76257485
63,318,0.06825626,0.12206837,0.17882733,0.34180924,0.74734294
63,319,0.29633206,0.25021228,0.25285983,0.39870337,0.7997381
63,320,0.11819987,0.23133089,0.2921877,0.40969253,0.8059301
63,321,0.18312655,0.3371044,0.41298565,0.46831548,0.81749773
63,322,0.05993233,0.13855104,0.29606563,0.40711483,0.76607996
63,323,0.15482518,0.14329557,0.21640202,0.3585936,0.7532907
63,324,0.23639974,0.2175896,0.26832175,0.38154608,0.7632001
63,325,0.10321679,0.22992718,0.3511796,0.4193122,0.77286327
63,326,0.4827882,0.52854735,0.4745725,0.48170766,0.825288
63,327,0.3679179,0.33964616,0.34755036,0.43197682,0.81586426
63,328,0.23972932,0.4504273,0.39143854,0.46531543,0.82910883
63,329,0.2896729,0.42378142,0.40175816,0.5127055,0.8450542
